idx,Bstart [%],Bend [%],Vload [CV],Yield [%],Purity [%],Prod [g/(l*CV)],tretA [CV],tretBC [CV],tretD [CV],peakwidthA [CV],peakwidthBC [CV],peakwidthD [CV],assymetryA [-],assymetryBC [-],assymetryD [-],poolVolume [CV],poolConcBC [g/l],poolConcSalt [M],cut1 [CV],cut2 [CV]
568,4.4,80.7,7.7,86.66,95.0,0.6,38.68,30.87,27.6,3.76,4.21,3.37,1.29,1.84,1.13,7.47,2.97,0.17,29.86,37.33
569,11.6,58.0,9.0,98.1,95.0,0.64,47.0,33.7,27.3,5.16,6.81,5.21,1.27,2.79,1.67,13.87,2.1,0.16,31.44,45.31
570,44.3,52.2,4.8,0.75,99.0,0.02,14.71,8.46,8.8,6.66,2.47,1.95,1.2,1.81,1.55,0.46,0.26,0.14,6.64,7.1
571,29.5,18.9,2.0,32.25,95.0,0.04,53.96,53.84,16.81,0.46,0.36,7.27,2.14,2.25,1.3,23.89,0.09,0.11,29.95,53.84
572,9.0,70.1,3.7,85.77,95.0,0.29,37.6,29.47,25.57,4.12,3.85,3.8,1.12,1.53,1.07,7.61,1.38,0.16,28.33,35.94
573,28.2,40.2,5.2,95.35,95.0,0.36,57.01,21.95,15.35,0.43,8.67,4.0,2.46,2.12,1.3,26.58,0.62,0.15,18.84,45.42
574,7.5,4.5,10.0,0.0,0.0,0.0,61.94,61.88,61.88,0.46,0.39,0.3,2.25,2.45,2.22,0,0.0,nan,0,0
575,18.7,10.6,6.4,0.0,0.0,0.0,58.32,58.27,58.2,0.47,0.39,0.27,2.38,2.22,1.74,0,0.0,nan,0,0
576,39.4,15.6,6.0,21.98,95.0,0.15,57.91,11.01,10.56,0.42,4.39,2.08,2.64,2.48,1.7,13.7,0.32,0.14,15.0,28.7
577,17.2,51.9,0.3,98.86,95.0,0.02,42.6,31.7,23.41,5.6,4.85,5.05,0.97,0.99,0.99,13.05,0.08,0.16,27.23,40.28
578,1.7,99.0,8.7,80.36,95.0,0.67,35.54,29.07,26.64,3.3,3.75,2.57,1.22,1.75,0.95,5.84,3.95,0.16,28.41,34.25
579,24.3,56.7,2.7,92.89,96.0,0.25,35.33,22.38,16.65,5.96,5.3,4.29,1.14,1.53,1.18,12.75,0.65,0.16,20.08,32.83
580,39.0,42.6,9.5,9.7,95.0,0.16,26.48,13.15,12.95,10.69,3.41,1.41,1.36,3.44,1.7,1.78,1.71,0.13,16.96,18.74
581,38.4,81.9,9.6,0.0,0.0,0.0,21.18,13.3,13.06,5.1,3.16,1.33,1.08,3.26,1.74,0,0.0,nan,0,0
582,12.7,3.8,2.1,0.0,0.0,0.0,54.05,54.02,54.09,0.48,0.41,0.38,2.7,2.29,1.64,0,0.0,nan,0,0
583,9.0,8.4,0.6,0.0,0.0,0.0,52.59,52.56,52.59,0.48,0.42,0.4,2.13,1.75,2.12,0,0.0,nan,0,0
584,27.9,87.1,4.6,59.17,95.0,0.42,23.44,15.57,13.13,4.23,3.99,2.4,1.14,1.29,1.12,5.9,1.54,0.16,15.48,21.37
585,47.4,91.0,0.7,8.39,99.0,0.06,7.63,4.33,5.19,3.82,2.25,2.08,1.18,1.33,1.29,0.93,0.22,0.16,2.5,3.43
586,29.9,39.7,1.3,92.22,95.0,0.09,53.08,21.65,13.86,0.42,8.06,4.88,2.43,1.38,1.08,24.11,0.16,0.15,17.95,42.06
587,48.0,25.7,5.7,1.89,99.0,0.05,13.2,8.58,9.07,7.67,1.92,1.72,1.32,1.98,1.7,0.38,0.93,0.14,7.44,7.82
588,32.0,95.6,6.7,37.15,95.0,0.44,21.3,13.93,12.33,4.14,3.99,1.77,1.19,1.49,1.33,3.95,2.1,0.16,14.95,18.89
589,19.7,44.8,1.7,99.78,95.0,0.12,53.47,33.83,23.16,5.97,6.14,5.73,0.05,1.25,1.11,19.14,0.29,0.15,27.77,46.91
590,48.3,99.2,2.3,7.16,99.0,0.11,8.43,5.51,6.27,3.64,1.97,1.86,1.07,1.38,1.24,0.6,0.91,0.17,4.15,4.74
591,1.9,25.6,3.6,0.0,0.0,0.0,55.54,55.48,55.4,0.48,0.4,0.29,2.2,1.92,1.72,0,0.0,nan,0,0
592,45.1,90.5,8.4,0.0,0.0,0.0,15.38,11.24,11.42,4.48,1.78,1.37,1.12,2.21,1.93,0,0.0,nan,0,0
593,2.4,78.6,7.1,84.97,95.0,0.53,39.57,31.89,28.68,3.73,4.05,3.32,1.15,1.72,1.1,7.18,2.79,0.17,30.93,38.11
594,32.3,98.5,0.7,0.0,0.0,0.0,15.69,10.02,9.14,3.81,3.21,2.75,1.14,1.22,1.0,0,0.0,nan,0,0
595,7.2,75.5,9.4,92.95,95.0,0.73,40.89,31.5,27.32,4.08,5.15,4.01,1.26,2.35,1.56,9.34,3.1,0.16,30.14,39.49
596,33.8,29.9,6.0,69.35,95.0,0.27,57.81,15.46,12.3,0.42,7.86,2.53,2.54,1.9,1.4,35.89,0.38,0.14,15.49,51.38
597,37.9,10.5,3.3,39.46,99.0,0.08,55.23,11.6,9.93,0.44,46.22,3.13,2.77,17.35,1.29,39.92,0.11,0.11,14.77,54.69
598,12.9,12.4,4.9,0.0,0.0,0.0,56.82,56.79,56.77,0.47,0.4,0.29,2.47,1.93,1.54,0,0.0,nan,0,0
599,8.4,23.8,1.5,0.0,0.0,0.0,53.47,53.44,53.36,0.48,0.41,0.29,2.52,1.8,1.53,0,0.0,nan,0,0
600,33.9,1.3,7.2,35.18,99.0,0.14,59.17,59.05,13.27,0.45,0.35,2.75,2.19,2.64,1.59,40.76,0.21,0.09,17.99,58.75
601,9.8,3.6,9.3,0.0,0.0,0.0,61.24,61.21,61.21,0.46,0.39,0.3,2.58,1.97,1.66,0,0.0,nan,0,0
602,11.0,93.4,8.7,86.06,95.0,0.76,33.62,26.06,23.18,3.63,4.23,3.03,1.33,2.01,1.02,7.18,3.45,0.16,25.17,32.35
603,44.4,14.0,4.5,0.78,99.0,0.02,56.4,8.39,8.72,0.4,2.82,2.16,2.68,1.67,1.45,0.55,0.21,0.15,6.29,6.85
604,4.8,92.9,8.4,83.44,95.0,0.68,35.83,28.65,26.05,3.48,3.98,2.89,1.14,1.95,0.91,6.54,3.56,0.17,27.9,34.44
605,31.4,45.2,3.5,77.07,95.0,0.27,36.57,16.7,12.54,9.68,6.72,3.37,1.18,1.65,1.14,16.83,0.52,0.15,15.67,32.5
606,41.2,47.8,6.3,0.02,99.0,0.0,19.77,10.37,10.37,8.39,2.99,1.83,1.31,2.17,1.46,0.25,0.01,0.13,8.15,8.4
607,7.1,22.2,0.7,0.0,0.0,0.0,52.62,52.59,52.56,0.48,0.41,0.31,2.4,1.79,1.46,0,0.0,nan,0,0
608,35.7,55.3,1.5,14.23,95.0,0.04,22.54,10.95,9.26,7.16,4.82,3.09,1.17,1.25,1.18,3.5,0.21,0.15,13.62,17.12
609,43.5,26.6,4.2,0.52,99.0,0.01,18.38,8.31,8.55,13.1,2.99,2.22,1.44,1.71,1.51,0.62,0.12,0.13,5.92,6.54
610,7.8,27.1,8.4,19.61,95.0,0.09,60.35,60.23,44.45,0.47,0.38,9.67,2.29,2.49,1.76,1.06,5.15,0.12,59.14,60.2
611,16.7,16.8,5.0,0.0,0.0,0.0,56.93,56.87,56.79,0.47,0.39,0.27,2.2,2.03,1.32,0,0.0,nan,0,0
612,15.9,90.3,1.2,51.3,95.0,0.09,26.02,20.31,17.52,3.63,3.16,3.15,1.18,1.09,1.12,3.82,0.55,0.17,20.34,24.16
613,48.9,5.7,9.0,0.0,0.0,0.0,15.09,11.49,11.73,49.32,1.43,1.27,13.9,2.0,2.01,0,0.0,nan,0,0
614,33.4,21.1,4.8,80.9,95.0,0.23,56.76,17.31,12.36,0.44,42.83,3.28,2.11,11.52,1.53,40.57,0.32,0.13,16.12,56.7
615,14.3,25.8,2.1,0.0,0.0,0.0,54.06,53.97,41.95,0.48,0.39,10.25,1.95,2.23,1.33,0,0.0,nan,0,0
616,18.2,99.1,10.0,87.87,95.0,0.99,30.74,22.66,19.76,3.72,4.63,2.75,1.24,2.19,1.12,7.71,3.77,0.16,21.68,29.39
617,46.3,9.8,3.0,2.77,99.0,0.05,54.83,6.74,7.3,0.4,2.78,2.36,2.87,1.51,1.53,0.52,0.53,0.15,4.92,5.44
618,44.8,5.7,7.3,0.16,99.0,0.0,59.19,10.46,10.66,0.41,2.23,1.66,2.49,2.11,1.87,0.21,0.18,0.13,9.1,9.31
619,14.7,97.9,0.3,25.57,95.0,0.01,24.01,19.1,16.9,3.39,2.93,3.02,1.17,1.07,0.95,1.89,0.12,0.13,19.92,21.81
620,40.4,34.1,1.5,0.03,99.0,0.0,23.7,8.2,7.85,15.01,4.64,3.06,1.39,1.4,1.21,0.67,0.0,0.12,3.46,4.13
621,0.1,83.2,5.3,73.14,95.0,0.36,37.23,30.63,28.01,3.5,3.45,2.91,1.08,1.48,1.02,5.51,2.33,0.17,30.15,35.67
622,9.3,43.5,9.1,99.8,95.0,0.52,60.93,42.68,32.89,0.45,8.92,6.52,2.41,3.2,1.85,19.4,1.55,0.15,39.01,58.4
623,10.9,57.1,1.5,95.93,95.0,0.12,42.12,33.09,26.97,4.76,4.19,4.45,1.1,1.11,1.04,9.9,0.47,0.16,30.39,40.29
624,9.0,77.0,7.1,88.43,97.0,0.59,37.85,29.13,25.53,3.99,4.4,3.67,1.12,2.04,1.2,7.54,2.77,0.16,28.06,35.6
625,9.8,7.9,1.0,0.0,0.0,0.0,52.95,52.89,52.95,0.48,0.42,0.4,2.11,2.31,1.99,0,0.0,nan,0,0
