idx,Bstart [%],Bend [%],Vload [CV],Yield [%],Purity [%],Prod [g/(l*CV)],tretA [CV],tretBC [CV],tretD [CV],peakwidthA [CV],peakwidthBC [CV],peakwidthD [CV],assymetryA [-],assymetryBC [-],assymetryD [-],poolVolume [CV],poolConcBC [g/l],poolConcSalt [M],cut1 [CV],cut2 [CV]
164,24.0,68.4,0.5,76.53,95.0,0.05,28.22,19.53,15.28,4.82,4.14,3.96,1.02,1.09,0.92,7.58,0.17,0.16,18.4,25.98
165,30.8,64.3,0.5,41.64,95.0,0.03,24.16,14.24,11.11,5.6,4.56,3.68,1.08,1.11,1.12,6.05,0.11,0.16,14.81,20.86
166,7.4,25.4,0.5,0.0,0.0,0.0,52.46,52.41,52.33,0.48,0.41,0.3,2.22,2.02,1.72,0,0.0,nan,0,0
167,15.2,56.8,0.5,97.04,95.0,0.04,39.92,30.46,23.61,5.03,4.36,4.62,0.97,1.04,1.08,10.62,0.15,0.16,27.21,37.83
168,3.0,26.9,0.5,0.0,0.0,0.0,52.45,52.39,52.34,0.48,0.41,0.3,2.44,2.31,1.82,0,0.0,nan,0,0
169,34.6,67.6,0.5,0.0,0.0,0.0,19.48,10.52,9.12,5.49,4.22,3.26,1.05,1.22,1.03,0,0.0,nan,0,0
170,25.8,46.5,0.5,97.25,95.0,0.04,41.69,25.53,16.63,7.68,6.37,5.26,1.14,1.15,1.1,17.9,0.09,0.16,20.87,38.77
171,5.9,89.4,0.5,36.85,95.0,0.02,29.41,24.49,22.0,3.39,2.94,3.05,1.14,0.99,1.01,2.54,0.24,0.16,24.88,27.42
172,48.9,93.6,0.5,11.79,99.0,0.06,6.64,3.75,4.78,3.6,2.09,1.98,1.27,1.52,1.2,0.91,0.21,0.16,2.23,3.14
173,22.9,82.0,0.5,52.99,95.0,0.04,24.29,17.42,14.3,4.1,3.54,3.45,1.0,1.16,1.14,4.59,0.19,0.16,17.45,22.04
174,22.5,26.9,0.5,13.49,95.0,0.0,52.43,52.35,27.34,0.47,0.37,9.74,2.77,2.37,1.19,6.45,0.03,0.13,45.84,52.29
175,47.3,21.1,0.5,7.05,99.0,0.04,10.94,4.4,5.4,9.54,2.94,2.62,1.52,1.46,1.35,1.05,0.11,0.16,2.23,3.28
176,7.1,52.4,0.5,97.27,95.0,0.04,46.4,37.45,31.09,4.78,4.15,4.53,0.98,1.24,0.97,9.94,0.16,0.17,34.48,44.43
177,6.6,82.0,0.5,53.92,95.0,0.03,31.36,25.97,23.09,3.58,3.11,3.26,1.13,0.97,0.9,3.7,0.24,0.16,25.83,29.52
178,44.3,70.3,0.5,2.92,99.0,0.01,10.17,5.09,5.75,4.92,2.87,2.45,1.14,1.19,1.22,1.1,0.04,0.15,2.3,3.39
179,44.9,48.6,0.5,3.3,99.0,0.02,11.45,5.08,5.75,6.64,3.1,2.61,1.2,1.26,1.34,1.11,0.05,0.16,2.27,3.38
180,0.2,49.2,0.5,95.62,95.0,0.03,52.28,42.35,36.39,0.48,3.96,4.34,1.9,1.22,1.16,8.95,0.18,0.16,39.83,48.79
