idx,Bstart [%],Bend [%],Vload [CV],Yield [%],Purity [%],Prod [g/(l*CV)],tretA [CV],tretBC [CV],tretD [CV],peakwidthA [CV],peakwidthBC [CV],peakwidthD [CV],assymetryA [-],assymetryBC [-],assymetryD [-],poolVolume [CV],poolConcBC [g/l],poolConcSalt [M],cut1 [CV],cut2 [CV]
726,20.6,78.8,3.1,95.45,95.0,0.39,26.79,14.98,10.63,4.78,6.99,3.33,1.38,3.06,2.1,11.91,0.83,0.16,13.36,25.27
727,34.5,0.4,3.1,53.15,95.0,0.1,55.07,54.96,6.5,0.44,0.34,1.3,2.28,2.67,2.01,45.61,0.12,0.1,9.37,54.98
728,42.1,58.6,6.7,0.0,0.0,0.0,14.36,8.65,6.66,7.96,0.54,2.05,1.19,2.42,6.55,0,0.0,nan,0,0
729,9.8,49.8,5.6,99.89,95.0,0.41,47.39,30.6,7.64,7.87,21.07,1.81,1.51,0.72,9.79,28.13,0.66,0.13,17.01,45.14
730,13.3,64.7,5.4,99.66,95.0,0.51,36.78,23.42,7.91,6.34,15.56,2.53,1.34,0.77,8.5,20.85,0.85,0.14,13.91,34.76
731,49.9,57.4,4.2,0.0,0.0,0.0,8.79,6.21,6.24,5.33,0.61,0.45,1.03,3.54,2.15,0,0.0,nan,0,0
732,6.1,15.7,7.6,36.22,95.0,0.15,59.55,59.46,6.66,0.45,0.39,1.13,1.93,1.97,3.14,45.15,0.2,0.08,14.27,59.42
733,5.3,10.0,1.8,0.0,0.0,0.0,53.75,53.7,53.73,0.46,0.4,0.32,2.28,2.31,1.71,0,0.0,nan,0,0
734,26.1,82.3,6.2,87.12,96.0,0.83,24.04,8.26,8.03,6.39,4.53,1.83,1.24,21.77,0.14,12.54,1.42,0.15,8.78,21.31
735,40.3,6.2,0.2,21.16,95.0,0.0,52.15,8.22,7.52,0.44,46.54,4.0,2.8,16.83,1.29,38.24,0.0,0.11,13.8,52.04
736,38.5,32.3,7.2,58.26,95.0,1.0,19.11,9.11,6.66,16.62,0.56,1.13,1.62,2.53,3.14,4.56,3.04,0.15,9.34,13.9
737,17.7,16.9,2.7,6.65,95.0,0.01,54.68,54.6,20.73,0.46,0.37,10.9,2.34,2.33,2.36,0.11,5.5,0.13,54.4,54.51
738,5.0,90.4,5.9,99.45,95.0,0.63,32.24,23.8,6.46,4.61,11.71,0.23,1.23,0.58,1.41,15.17,1.27,0.14,15.46,30.63
